year,mass change
2002.292,1286.1722
2002.353,1303.4060
2002.622,1158.0980
2002.705,1163.7429
2002.789,1181.6537
2002.873,1189.0277
2002.956,1249.3197
2003.041,1234.8811
2003.122,1155.5833
2003.203,1343.8432
2003.286,1382.7313
2003.356,1424.9240
2003.537,1247.3661
2003.622,1024.8980
2003.705,983.8470
2003.789,1015.8718
2003.873,984.0974
2003.956,1000.2568
2004.016,1020.7677
2004.127,1069.1925
2004.205,1096.0814
2004.288,1179.5760
2004.372,1185.4543
2004.455,1129.4267
2004.538,999.6433
2004.623,868.9173
2004.706,872.7971
2004.790,770.6400
2004.873,795.4285
2004.956,822.7458
2005.041,787.2447
2005.122,880.1381
2005.203,1027.1803
2005.286,1020.9097
2005.370,973.2945
2005.453,942.3573
2005.537,805.8994
2005.622,620.8940
2005.705,498.6605
2005.789,481.9098
2005.873,470.6968
2005.956,629.2226
2006.041,614.3233
2006.122,686.9509
2006.203,702.9539
2006.286,640.2336
2006.370,661.0170
2006.453,717.6723
2006.537,574.2796
2006.622,429.2819
2006.705,320.7901
2006.789,361.8442
2006.873,430.7116
2006.956,368.8480
2007.041,375.3861
2007.121,482.3183
2007.203,418.7079
2007.286,466.9802
2007.370,501.6053
2007.453,485.4039
2007.537,290.1978
2007.622,85.1095
2007.705,20.2802
2007.789,37.7242
2007.873,66.3589
2007.956,72.8589
2008.041,96.0466
2008.123,154.4278
2008.205,239.3599
2008.288,207.9092
2008.372,173.5980
2008.455,158.9275
2008.538,-6.1478
2008.623,-218.2174
2008.706,-217.8704
2008.790,-236.5195
2008.873,-206.6328
2008.956,-140.1693
2009.041,-63.0397
2009.122,-73.6491
2009.203,-83.1456
2009.286,-107.3856
2009.370,-98.9176
2009.453,-43.5627
2009.537,-152.9591
2009.622,-405.7943
2009.705,-456.6579
2009.789,-440.8843
2009.873,-480.5424
2009.956,-394.7759
2010.041,-369.7309
2010.122,-403.7235
2010.203,-356.7293
2010.286,-373.9013
2010.370,-281.6083
2010.453,-363.4980
2010.537,-596.6353
2010.622,-806.0542
2010.705,-902.7460
2010.789,-892.5255
2010.873,-850.6994
2010.951,-817.3838
2011.132,-852.2790
2011.203,-775.8566
2011.286,-739.9180
2011.370,-763.1232
2011.542,-1009.6052
2011.622,-1216.3258
2011.705,-1257.1142
2011.789,-1264.3773
2011.830,-1340.5677
2011.988,-1320.5319
2012.041,-1339.7089
2012.123,-1259.7226
2012.205,-1188.6678
2012.255,-1147.4712
2012.455,-1195.0238
2012.538,-1438.4027
2012.623,-1753.6259
2012.699,-1895.1535
2012.880,-1848.5233
2012.956,-1780.0097
2013.041,-1713.8616
2013.119,-1741.3444
2013.300,-1720.5574
2013.370,-1703.4416
2013.453,-1657.5449
2013.537,-1699.8104
